grammar,A,a,Aa,aa,a.A,aa.A,solution
47,(A),(A),(Aa),(Aa),(A.a),(aa).A,OT+HG
48,(Aa),(Aa),(Aa),(Aa),(A.a),(aa).A,OT+HG
49,(A),(a),(Aa),(aa),a.(A),aa.(A),OT+HG
50,(A),(A),(Aa),(aa),a.(A),aa.(A),OT+HG
51,(A),(aa),(Aa),(aa),a.(A),aa.(A),OT+HG
52,(Aa),(aa),(Aa),(aa),a.(A),aa.(A),OT+HG
53,(A),(a),(aa),(aa),a.(A),aa.(A),OT+HG
54,(A),(A),(aa),(aa),a.(A),aa.(A),OT+HG
55,(A),(aa),(aa),(aa),a.(A),aa.(A),OT+HG
56,(A),(a),(A),(aa),a.(A),aa.(A),OT+HG
57,(A),(A),(A),(aa),a.(A),aa.(A),OT+HG
58,(A),(aa),(A),(aa),a.(A),aa.(A),OT+HG
59,(A),(A),(Aa),(Aa),a.(A),aa.(A),OT+HG
60,(Aa),(Aa),(Aa),(Aa),a.(A),aa.(A),OT+HG
61,(A),(A),(A),(A),a.(A),aa.(A),OT+HG
62,(A),(a),(Aa),(aa),a.(A),(Aa).a,OT+HG
63,(A),(aa),(Aa),(aa),a.(A),(Aa).a,OT+HG
64,(Aa),(aa),(Aa),(aa),a.(A),(Aa).a,OT+HG
65,(A),(a),(A),(aa),a.(A),(Aa).a,OT+HG
66,(A),(aa),(A),(aa),a.(A),(Aa).a,OT+HG
67,(A),(A),(Aa),(Aa),a.(A),(Aa).a,OT+HG
68,(Aa),(Aa),(Aa),(Aa),a.(A),(Aa).a,OT+HG
69,(A),(A),(A),(A),a.(A),(Aa).a,OT+HG
70,(Aa),(aa),(Aa),(aa),(aa).A,(Aa).a,OT+HG
71,(Aa),(Aa),(Aa),(Aa),(aa).A,(Aa).a,OT+HG
72,(A),(a),(Aa),(aa),(A.a),(Aa).a,OT+HG
73,(Aa),(aa),(Aa),(aa),(A.a),(Aa).a,OT+HG
74,(A),(A),(Aa),(Aa),(A.a),(Aa).a,OT+HG
75,(Aa),(Aa),(Aa),(Aa),(A.a),(Aa).a,OT+HG
76,(A),(aa),(Aa),(aa),(a.A),(aa).A,HG
77,(A),(aa),(aa),(aa),(a.A),(aa).A,HG
78,(A),(aa),(Aa),(aa),(A.a),(aa).A,HG
79,(A),(aa),(aa),(aa),(A.a),(aa).A,HG
80,(A),(A),(Aa),(aa),a.(A),(Aa).a,HG
81,(A),(A),(A),(aa),a.(A),(Aa).a,HG
82,(A),(A),(Aa),(aa),(A.a),(Aa).a,HG
83,(A),(aa),(Aa),(aa),(A.a),(Aa).a,HG
